41,493000
78,077000
90,496000
95,757000
98,071000
99,013000
99,396000
99,581000
99,698000
99,761000
99,802000
99,820000
99,857000
99,897000
99,909000
99,926000
99,951000
99,958000
99,964000
99,968000
99,969000
99,970000
99,971000
99,971000
99,971000
99,971000
99,974000
99,979000
99,984000
99,984000
99,984000
99,986000
99,986000
99,986000
99,989000
99,989000
99,989000
99,989000
99,991000
99,991000
99,991000
99,991000
99,993000
99,993000
99,993000
99,993000
99,993000
99,994000
99,994000
99,994000
99,995000
99,995000
99,996000
99,996000
99,996000
99,996000
99,996000
99,996000
99,999000
100,000000
